rank,mark,athlete,country,date_of_birth,race_position,venue,result_date
1881,4:02.61,Adelle Tracey,JAM,27.05.93,5,Székesfehérvár,18.07.2023
1881,4:02.61,Saron Berhe,ETH,22.08.07,2,Ad-Dawhah,19.06.2026
1885,4:02.62,Hassiba Boulmerka,ALG,10.07.68,3,Monaco,16.08.1997
1885,4:02.62,Meraf Bahta,SWE,24.06.89,3,London,22.07.2016
1885,4:02.62,Jessica Hull,AUS,22.10.96,7,Palo Alto,30.06.2019
1885,4:02.62,Elise Cranny,USA,09.05.96,1rA,Portland,29.05.2021
1885,4:02.62,Faith Kipyegon,KEN,10.01.94,1h2,Budapest,19.08.2023
1890,4:02.63,Natalya Artyomova,RUS,05.01.63,5,Leningrad,26.07.1983
1890,4:02.63,Sonia O'Sullivan,IRL,28.11.69,7,Zürich,12.08.1998
1890,4:02.63,Naomi Mugo,KEN,02.01.77,6,Monaco,13.09.2003
1890,4:02.63,Sarah Jamieson,AUS,24.03.75,7,Rieti,27.08.2006
1890,4:02.63,Luiza Gega,ALB,05.11.88,4,Ad-Dawhah,15.05.2015
1890,4:02.63,Elise Vanderelst,BEL,27.01.98,7,Firenze,10.06.2021
1890,4:02.63,Jessica Hull,AUS,22.10.96,11,Tokyo,06.08.2021
1890,4:02.63,Axumawit Embaye,ETH,18.10.94,1,Chorzów,04.06.2023
1890,4:02.63,Salma Elbadra,MAR,12.09.04,1r6,Winston-Salem,17.04.2026
1899,4:02.64,Carla Sacramento,POR,10.12.71,1,Nice,10.07.1996
1899,4:02.64,Suzy Favor Hamilton,USA,08.08.68,3,Saint-Denis,06.07.2001
1899,4:02.64,Malindi Elmore,CAN,13.03.80,4,Roma,02.07.2004
1899,4:02.64,Mimi Belete,ETH,09.06.88,6,Lausanne,08.07.2010
1899,4:02.64,Maureen Koster,NED,07.03.92,6,Roma,04.06.2015
1899,4:02.64,Heather MacLean,USA,31.08.95,1,Atlanta,31.05.2024
1899,4:02.64,Laura Muir,GBR,09.05.93,8,Stockholm,02.06.2024
1899,4:02.64+,Esther Guerrero,ESP,07.02.90,10,London,19.07.2025
1907,4:02.65,Natalia Marasescu,ROU,03.10.52,1,Bucuresti,17.07.1977
1907,4:02.65,Violeta Szekely,ROU,26.03.65,7,Bruxelles,28.08.1998
1907,4:02.65,Yekaterina Rozenberg,RUS,23.01.80,8,Roma,11.07.2003
1907,4:02.65,Brenda Martinez,USA,08.09.87,7,Eugene,26.05.2018
1907,4:02.65,Axumawit Embaye,ETH,18.10.94,8,Roma,06.06.2019
1907,4:02.65,Jessica Hull,AUS,22.10.96,5,Stockholm,23.08.2020
1907,4:02.65,Linden Hall,AUS,20.06.91,1,Stockholm,30.06.2022
1907,4:02.65,Lucia Stafford,CAN,17.08.98,2,Atlanta,31.05.2024
1915,4:02.66,Margrit Klinger,FRG,22.06.60,3,Köln,28.08.1983
1915,4:02.66,Yelena Kanales,RUS,07.02.76,4r3,Tula,13.07.2005
1915,4:02.66,Laura Weightman,GBR,07.01.91,4,London,22.07.2016
1915,4:02.66,Winny Chebet,KEN,20.12.90,10,Saint-Denis,27.08.2016
1915,4:02.66A,Edinah Jebitok,KEN,10.11.01,3,Nairobi,07.05.2022
1915,4:02.66,Sarah Madeleiene,FRA,20.09.98,2h4,Tokyo,13.09.2025
1921,4:02.67,Ravilya Agletdinova,BLR,10.02.60,4,Helsinki,14.08.1983
1921,4:02.67,Yekaterina Podkopayeva,RUS,11.06.52,h,Kyiv,22.06.1984
1921,4:02.67,Lyudmila Veselkova,RUS,25.10.50,10,Kyiv,24.06.1984
1921,4:02.67,Carla Sacramento,POR,10.12.71,3,Bruxelles,23.08.1996
1921,4:02.67,Judit Varga,HUN,16.04.76,8,Bruxelles,05.09.2003
1921,4:02.67,Abeba Aregawi,SWE,05.07.90,1,Moskva,15.08.2013
1921,4:02.67,Genzebe Dibaba,ETH,08.02.91,1h1,London,04.08.2017
1921,4:02.67,Claudia Mihaela Bobocea,ROU,11.06.92,2,Marseille,03.09.2020
1921,4:02.67,Nelly Chepchirchir,KEN,04.06.03,1h3,Saint-Denis,06.08.2024
1921,4:02.67,Sarah Healy,IRL,13.02.01,3h4,Tokyo,13.09.2025
1931,4:02.68,Naomi Mugo,KEN,02.01.77,3,Stuttgart,19.07.1998
1931,4:02.68,Gelete Burka,ETH,23.01.86,3,Eugene,28.05.2006
1931,4:02.68,Gudaf Tsegay,ETH,23.06.97,1h3,Eugene,15.07.2022
1931,4:02.68,Helen Schlachtenhaufen,USA,14.03.95,3s2,Eugene,28.06.2024
1935,4:02.69,Svetlana Kitova,TJK,25.06.60,2,Bruxelles,25.08.1989
1935,4:02.69,Yvonne Graham,GER,22.08.65,1,Potsdam,13.06.1990
1935,4:02.69,Lyudmila Rogachova,RUS,30.10.66,2,Nice,10.07.1996
1935,4:02.69,Lidia Chojecka,POL,25.01.77,1,Bydgoszcz,09.07.2000
1935,4:02.69,Gulnara Galkina,RUS,09.07.78,3,Kazan,09.07.2004
1935,4:02.69,Georgia Griffith,AUS,05.12.96,9s1,Saint-Denis,08.08.2024
1941,4:02.7,Gunhild Hoffmeister,GDR,06.07.44,1,Karl-Marx-Stadt,08.08.1976
1941,4:02.7,Olga Dvirna,RUS,11.02.53,5h1,Moskva,04.07.1980
1941,4:02.7,Lyudmila Medvedyeva,RUS,18.01.57,1,Donetsk,10.08.1985
1941,4:02.70,Gabriella Dorio,ITA,27.06.57,1,Milano,03.07.1980
1941,4:02.70,Viola Kibiwott,KEN,22.12.85,2,Hengelo,01.06.2009
1941,4:02.70,Stephanie Twell,GBR,17.08.89,5,Barcelona,01.08.2010
1941,4:02.70,Ciara Mageean,IRL,12.03.92,3s1,Budapest,20.08.2023
1941,4:02.70,Jessica Hull,AUS,22.10.96,2h3,Saint-Denis,06.08.2024
1941,4:02.70,Haregeweyn Kalayu,ETH,29.05.09,12,Paris,28.06.2026
1941,4:02.70,Aster Areri,ETH,16.04.07,13,Paris,28.06.2026
1951,4:02.71,Tatyana Dorovskikh,UKR,12.08.61,1,Roma,10.09.1986
1951,4:02.71,Natalya Tobias,UKR,22.11.80,7,Göteborg,13.08.2006
1951,4:02.71,Maryam Yusuf Jamal,BRN,16.09.84,5,Beijing,23.08.2008
1951,4:02.71+,Shannon Rowbury,USA,19.09.84,3,Rieti,07.09.2008
1951,4:02.71,Rababe Arafi,MAR,12.01.91,1,Beijing,21.05.2014
1951,4:02.71,Cory Ann McGee,USA,29.05.92,4s1,Budapest,20.08.2023
1951,4:02.71,Svetlana Aplachkina,RUS,28.11.92,1,Yekaterinburg,18.08.2024
1951,4:02.71+,Sarah Healy,IRL,13.02.01,8,Eugene,04.07.2026
1959,4:02.72,Lyudmila Rogachova,RUS,30.10.66,3,Tokyo,31.08.1991
1959,4:02.72,Morgan Uceny,USA,10.03.85,4,Stockholm,06.08.2010
1959,4:02.72,Laura Weightman,GBR,07.01.91,8,Eugene,31.05.2014
1959,4:02.72,Diribe Welteji,ETH,13.05.02,2h2,Budapest,19.08.2023
1963,4:02.73,Lyudmila Rogachova,RUS,30.10.66,3,Nice,18.07.1994
1963,4:02.73,Gudaf Tsegay,ETH,23.06.97,5,Shanghai,14.05.2016
1963,4:02.73,Sofia Ennaoui,POL,30.08.95,1h2,München,16.08.2022
1966,4:02.74,Lyubov Kremlyova,RUS,21.12.61,2,Noisy-le-Grand,04.07.1992
1966,4:02.74,Violeta Szekely,ROU,26.03.65,4,Nice,16.07.1998
1966,4:02.74,Naomi Mugo,KEN,02.01.77,8,Bruxelles,28.08.1998
1966,4:02.74,Alesya Turova,BLR,06.12.79,4,Paris,14.09.2002
1966,4:02.74,Kutre Dulecha,ETH,22.08.78,9,Roma,11.07.2003
1966,4:02.74,Hind Dehiba,FRA,17.03.79,6,Athínai,03.07.2006
1966,4:02.74,Winnie Nanyondo,UGA,23.08.93,7,Rabat,05.06.2022
1966,4:02.74,Cory Ann McGee,USA,29.05.92,5s1,Eugene,16.07.2022
1966,4:02.74,Erin Wallace,GBR,18.05.00,1,Troyes,22.06.2025
1975,4:02.75,Natalya Yevdokimova,RUS,17.03.78,2,Lausanne,05.07.2005
1975,4:02.75,Siham Hilali,MAR,02.05.86,4,Monaco,22.07.2011
1975,4:02.75,Nelly Jepkosgei,BRN,14.07.91,5,Hengelo,11.06.2017
1975,4:02.75,Brenda Martinez,USA,08.09.87,3,Rabat,16.07.2017
1975,4:02.75,Axumawit Embaye,ETH,18.10.94,5,Bruxelles,31.08.2018
1975,4:02.75,Laura Muir,GBR,09.05.93,1,Birmingham,07.08.2022
1975,4:02.75,Esther Guerrero,ESP,07.02.90,1,La Nucía,30.06.2024
1975,4:02.75,Saron Berhe,ETH,22.08.07,13,Shaoxing,16.05.2026
1983,4:02.76,Viorica Ghican,ROU,09.06.65,1,Bucuresti,11.06.1988
1983,4:02.76,Yekaterina Podkopayeva,RUS,11.06.52,4,Sankt Peterburg,04.07.1996
1983,4:02.76,Olga Yegorova,RUS,28.03.72,1,Glasgow,01.07.2001
1983,4:02.76,Jennifer Simpson,USA,23.08.86,2,London,07.08.2017
1987,4:02.77,Tatyana Dorovskikh,UKR,12.08.61,2,Sochi,10.06.1984
1987,4:02.77,Dolores Checa,ESP,27.12.82,4,Athínai,13.07.2008
1987,4:02.77,Faith Kipyegon,KEN,10.01.94,2h3,Beijing,22.08.2015
1987,4:02.77,Angelika Cichocka,POL,15.03.88,8,Bruxelles,01.09.2017
1987,4:02.77,Winny Chebet,KEN,20.12.90,7,Monaco,09.07.2021
1987,4:02.77,Katie Snowden,GBR,09.03.94,6h3,Tokyo,02.08.2021
1987,4:02.77,Marta Zenoni,ITA,09.03.99,4h4,Tokyo,13.09.2025
1994,4:02.78,Yekaterina Podkopayeva,RUS,11.06.52,2,Moskva,11.06.1992
1994,4:02.78,Sonia O'Sullivan,IRL,28.11.69,9,Roma,14.07.1998
1994,4:02.78,Svetlana Masterkova,RUS,17.01.68,1rA,Barcelona,25.07.2000
1994,4:02.78,Tatyana Tomashova,RUS,01.07.75,7,Monaco,13.09.2003
1994,4:02.78,Axumawit Embaye,ETH,18.10.94,3,Glasgow,11.07.2014
1994,4:02.78,Helen Schlachtenhaufen,USA,14.03.95,8,Eugene,21.08.2021
1994,4:02.78,Axumawit Embaye,ETH,18.10.94,1,Marseille,15.06.2022
1994,4:02.78,Addison Wiley,USA,24.10.03,3,Atlanta,31.05.2024
2002,4:02.79,Zamira Zaytseva,UZB,16.02.53,1,Kyiv,26.08.1981
2002,4:02.79,Brigitte Kraus,FRG,12.08.56,1,Rhede,29.07.1983
2002,4:02.79,Anna Mishchenko,UKR,25.08.83,2r1,Rieti,10.09.2011
2002,4:02.79+,Angelika Cichocka,POL,15.03.88,5,London,09.07.2017
2002,4:02.79,Hirut Meshesha,ETH,20.01.01,5,Hengelo,08.06.2021
2002,4:02.79,Diribe Welteji,ETH,13.05.02,2,Stockholm,02.07.2023
2002,4:02.79,Melissa Courtney-Bryant,GBR,30.08.93,5s1,Budapest,20.08.2023
2002,4:02.79,Maggi Congdon,USA,23.07.02,4s2,Eugene,28.06.2024
2002,4:02.79,Karissa Schweizer,USA,04.05.96,2rA,Eagle Rock,20.07.2024
2002,4:02.79,Cory Ann McGee,USA,29.05.92,13,Chorzów,25.08.2024
2002,4:02.79,Kate Current,CAN,16.02.98,13,Budapest,12.08.2025
2013,4:02.8,Olga Dvirna,RUS,11.02.53,1,Tbilisi,17.09.1978
2013,4:02.8+,Mary Slaney,USA,04.08.58,1,London,02.08.1985
2013,4:02.80,Fita Lovin,ROU,14.01.51,3,Udine,12.06.1983
2013,4:02.80,Violeta Szekely,ROU,26.03.65,1,Berlin,01.09.2000
2013,4:02.80,Maria Cioncan,ROU,19.06.77,9,Saint-Denis,31.08.2003
2013,4:02.80,Olga Yegorova,RUS,28.03.72,4,Lausanne,11.07.2006
2013,4:02.80,Netsanet Desta,ETH,26.10.00,4,Ostrava,28.05.2024
2013,4:02.80,Marta Pérez,ESP,19.04.93,15,Roma,30.08.2024
2021,4:02.81,Tatyana Kazankina,RUS,17.12.51,1,Helsinki,22.06.1976
2021,4:02.81,Tamara Sorokina,RUS,15.08.50,6,Leningrad,26.07.1983
2021,4:02.81,Lidia Chojecka,POL,25.01.77,3,Monaco,04.08.1999
2021,4:02.81,Dawit Seyaum,ETH,27.07.96,8,Eugene,26.05.2018
2021,4:02.81,Besu Sado,ETH,12.01.96,6,Stockholm,10.06.2018
2021,4:02.81,Karissa Schweizer,USA,04.05.96,2,Portland,30.06.2020
2021,4:02.81,Laura Muir,GBR,09.05.93,1,Birmingham,21.05.2022
2021,4:02.81,Melissa Courtney-Bryant,GBR,30.08.93,5,Hengelo,04.06.2023
2021,4:02.81,Gabija Galvydyte,LTU,17.01.00,5h4,Tokyo,13.09.2025
2030,4:02.82,Natalya Gorelova,RUS,18.04.73,8,Zürich,11.08.2000
2030,4:02.82,Yekaterina Rozenberg,RUS,23.01.80,8,Monaco,13.09.2003
2030,4:02.82,Sarah Jamieson,AUS,24.03.75,3,Athínai,17.09.2006
2030,4:02.82,Abbey Caldwell,AUS,03.07.01,1,Perth,14.02.2026
2034,4:02.83,Gunhild Hoffmeister,GDR,06.07.44,2,München,09.09.1972
2034,4:02.83+,Kirsty Wade,GBR,06.08.62,2,Oslo,27.07.1985
2034,4:02.83,Getenesh Wami,ETH,11.12.74,8,Zürich,12.08.1998
2034,4:02.83,Lidia Chojecka,POL,25.01.77,3rA,Lausanne,06.07.2004
2034,4:02.83,Yuliya Chizhenko,RUS,30.08.79,6,Monaco,09.09.2005
2034,4:02.83,Gudaf Tsegay,ETH,23.06.97,2,Beijing,21.05.2014
2034,4:02.83,Danielle Jones,USA,21.08.96,1rA,Memphis,05.08.2023
2034,4:02.83,Ludovica Cavalli,ITA,20.12.00,6s1,Budapest,20.08.2023
2034,4:02.83,Maia Ramsden,NZL,23.03.02,6h2,Saint-Denis,06.08.2024
2034,4:02.83,Marta Pérez,ESP,19.04.93,3rA,Tomblaine,04.07.2025
2044,4:02.84,Andrea Hahmann,GER,03.06.66,1,Dresden,11.06.1988
2044,4:02.84,Marina Yachmeneva,RUS,14.07.61,4,Kyiv,02.08.1988
2044,4:02.84,Natalia Rodríguez,ESP,02.06.79,5,Roma,12.07.2002
2044,4:02.84,Gelete Burka,ETH,23.01.86,5,Stockholm,06.08.2010
2044,4:02.84,Maryam Yusuf Jamal,BRN,16.09.84,7,Saint-Denis,06.07.2012
2044,4:02.84,Caster Semenya,RSA,07.01.91,2h1,London,04.08.2017
2044,4:02.84,Winny Chebet,KEN,20.12.90,5,Nanjing,21.05.2019
2044,4:02.84+,Erin Wallace,GBR,18.05.00,11,London,19.07.2025
2052,4:02.85,Paola Cacchi,ITA,30.12.45,3,München,09.09.1972
2052,4:02.85,Marla Runyan,USA,04.01.69,6,Roma,12.07.2002
2052,4:02.85,Treniere Moser,USA,27.10.81,5,Eugene,01.06.2013
2052,4:02.85,Cory Ann McGee,USA,29.05.92,9,Chorzów,06.08.2022
2056,4:02.86,Margarita Marusova,RUS,25.11.67,5,Nice,16.07.1998
2056,4:02.86,Rababe Arafi,MAR,12.01.91,6,Shanghai,18.05.2014
2056,4:02.86,Sarah Healy,IRL,13.02.01,6rA,Ostrava,31.05.2022
2059,4:02.87,Tatyana Dorovskikh,UKR,12.08.61,h,Kyiv,22.06.1984
2059,4:02.87,Sinclaire Johnson,USA,13.04.98,9,Monaco,10.08.2022
2059,4:02.87,Erin Wallace,GBR,18.05.00,3rA,Stockholm,07.06.2026
2062,4:02.88,Ulrike Bruns,GDR,17.11.53,1,Vilnius,24.06.1978
2062,4:02.88,Natalya Gorelova,RUS,18.04.73,2,Tula,26.07.2000
2062,4:02.88,Esther Guerrero,ESP,07.02.90,1,Zagreb,10.09.2023
2062,4:02.88+,Linden Hall,AUS,20.06.91,12,London,19.07.2025
