rank,mark,athlete,country,date_of_birth,race_position,venue,result_date
2066,4:02.89,Doina Melinte,ROU,27.12.56,9,Seoul,01.10.1988
2066,4:02.89,Suzy Favor Hamilton,USA,08.08.68,1,Madrid,19.07.2003
2066,4:02.89,Linden Hall,AUS,20.06.91,7,Stockholm,10.06.2018
2069,4:02.9,Giana Romanova,RUS,10.03.55,1,Sochi,09.06.1979
2069,4:02.9,Raisa Belousova,RUS,29.02.52,6r1,Sochi,23.05.1980
2069,4:02.9,Valentina Ilyinykh,RUS,12.12.56,7,Moskva,12.06.1980
2069,4:02.90,Heike Oehme,GER,11.11.63,1,Tallinn,21.06.1986
2069,4:02.90,Elena Antoci,ROU,16.01.75,6,Monaco,19.07.2002
2069,4:02.90,Judit Varga,HUN,16.04.76,5,Paris,14.09.2002
2069,4:02.90,Oleysa Mikheyeva,RUS,23.07.81,5r3,Tula,13.07.2005
2069,4:02.90,Dawit Seyaum,ETH,27.07.96,3,Oslo,11.06.2015
2069,4:02.90,Caster Semenya,RSA,07.01.91,3,London,07.08.2017
2069,4:02.90,Laura Weightman,GBR,07.01.91,8,Stockholm,10.06.2018
2069,4:02.90,Esther Chebor,KEN,21.04.81,6,Nanjing,21.05.2019
2069,4:02.90,Heather MacLean,USA,31.08.95,7,Zürich,08.09.2022
2081,4:02.91,Tamara Sorokina,RUS,15.08.50,1,Celje,18.08.1981
2081,4:02.91,Gabriela Szabo,ROU,14.11.75,1,Hengelo,01.06.1998
2081,4:02.91,Maria Cioncan,ROU,19.06.77,1,Bucuresti,07.06.2003
2081,4:02.91,Laura Muir,GBR,09.05.93,2,Hengelo,08.06.2014
2081,4:02.91,Sarah Healy,IRL,13.02.01,7h2,Saint-Denis,06.08.2024
2081,4:02.91,Simone Plourde,CAN,08.08.00,3rA,Eagle Rock,12.07.2025
2087,4:02.92,Laimute Baikauskaite,LTU,10.06.56,5,Kyiv,17.07.1986
2087,4:02.92,Kutre Dulecha,ETH,22.08.78,1,Roma,30.06.2000
2087,4:02.92,Lisa Dobriskey,GBR,23.12.83,4,Zürich,19.08.2010
2087,4:02.92,Sifan Hassan,NED,01.01.93,1h1,Budapest,19.08.2023
2087,4:02.92,Addison Wiley,USA,24.10.03,5s2,Eugene,28.06.2024
2087,4:02.92,Erin Wallace,GBR,18.05.00,1,Nice,31.05.2025
2093,4:02.93,Olga Yegorova,RUS,28.03.72,1,Villeneuve d'Ascq,26.06.2004
2093,4:02.93,Sofia Ennaoui,POL,30.08.95,2rA,Madrid,22.06.2018
2093,4:02.93,Katie Snowden,GBR,09.03.94,9s1,Tokyo,04.08.2021
2093,4:02.93,Sarah Billings,AUS,07.03.98,7,Rabat,25.05.2025
2097,4:02.94,Natalya Gorelova,RUS,18.04.73,3,Rieti,08.09.2002
2097,4:02.94,Olga Yegorova,RUS,28.03.72,3,Bruxelles,03.09.2004
2097,4:02.94,Sarah Jamieson,AUS,24.03.75,3,Saint-Denis,18.07.2008
2097,4:02.94,Rababe Arafi,MAR,12.01.91,7,Roma,04.06.2015
2097,4:02.94,Winny Chebet,KEN,20.12.90,7,Shanghai,18.05.2019
2097,4:02.94,Dominique Hiltz,USA,23.10.94,3,Trabuco Hills,18.07.2021
2103,4:02.95,Zamira Zaytseva,UZB,16.02.53,h,Kyiv,22.06.1984
2103,4:02.95,Jackline Maranga,KEN,16.12.77,9,Zürich,12.08.1998
2103,4:02.95,Shannon Rowbury,USA,19.09.84,6,Stockholm,06.08.2010
2103,4:02.95,Rababe Arafi,MAR,12.01.91,3,Birmingham,20.08.2017
2103,4:02.95,Gudaf Tsegay,ETH,23.06.97,1rA,Ostrava,20.06.2019
2103,4:02.95,Linden Hall,AUS,20.06.91,2,Lausanne,26.08.2021
2109,4:02.96,Lyudmila Veselkova,RUS,25.10.50,1r1,Moskva,19.09.1981
2109,4:02.96,Nadezhda Ralldugina,RUS,15.11.57,3,Sochi,10.06.1984
2109,4:02.96,Natalya Boborova,RUS,12.02.59,h,Kyiv,22.06.1984
2109,4:02.96,Nouria Mérah-Benida,ALG,19.10.70,2,Roma,30.06.2000
2109,4:02.96,Nancy Jebet Langat,KEN,22.08.81,2,Shanghai,20.09.2009
2109,4:02.96,Sheila Reid,CAN,02.08.89,6,Eugene,01.06.2013
2109,4:02.96,Shannon Rowbury,USA,19.09.84,4rA,Stockholm,21.08.2014
2109,4:02.96,Georgia Griffith,AUS,05.12.96,8,Bruxelles,02.09.2022
2109,4:02.96,Marta Pérez,ESP,19.04.93,7s1,Budapest,20.08.2023
2109,4:02.96,Claudia Hollingsworth,AUS,12.04.05,1rA,Melbourne,04.04.2024
2109,4:02.96,Cory Ann McGee,USA,29.05.92,12,Westwood,18.05.2024
2120,4:02.97,Daniela Yordanova,BUL,08.03.76,4,Athínai,17.09.2006
2120,4:02.97,Laura Muir,GBR,09.05.93,4,London,07.08.2017
2120,4:02.97,Lemlem Hailu,ETH,25.05.01,11,Rabat,16.06.2019
2120,4:02.97,Diane van Es,NED,22.03.99,3,Cork,11.07.2025
2124,4:02.98,Ileana Silai,ROU,14.10.41,8,Moskva,01.08.1980
2124,4:02.98,Kalkidan Gezahegne,ETH,08.05.91,3,Athínai,13.07.2009
2124,4:02.98,Katie Snowden,GBR,09.03.94,1r1,Irvine,15.05.2021
2124,4:02.98,Laura Muir,GBR,09.05.93,9,Stockholm,02.06.2024
2128,4:02.99,Laura Weightman,GBR,07.01.91,4s2,London,08.08.2012
2128,4:02.99,Lucia Hrivnák Klocová,SVK,20.11.83,5s2,London,08.08.2012
2128,4:02.99,Jennifer Simpson,USA,23.08.86,2,Moskva,15.08.2013
2128,4:02.99,Kate Grace,USA,24.10.88,8,Palo Alto,30.06.2019
2128,4:02.99+,Axumawit Embaye,ETH,18.10.94,2,Bruxelles,03.09.2021
2128,4:02.99+,Gaia Sabbatini,ITA,10.06.99,13,London,19.07.2025
2134,4:03.0,Giana Romanova,RUS,10.03.55,1,Vilnius,22.07.1978
2134,4:03.0,Lyudmila Medvedyeva,RUS,18.01.57,1,Moskva,24.08.1985
2134,4:03.0,Lyubov Kremlyova,RUS,21.12.61,1,Kyiv,24.06.1988
2134,4:03.00,Natalya Artyomova,RUS,05.01.63,1,Nice,15.07.1991
2134,4:03.00,Anna Mishchenko,UKR,25.08.83,1,Ad-Dawhah,06.05.2011
2134,4:03.00,Axumawit Embaye,ETH,18.10.94,5,Eugene,30.05.2015
2134,4:03.00,Gudaf Tsegay,ETH,23.06.97,4,Birmingham,20.08.2017
2134,4:03.00A,Brenda Chebet,KEN,06.03.04,2,Nairobii,08.07.2023
2134,4:03.00,Sarah Healy,IRL,13.02.01,3h2,Budapest,19.08.2023
2134,4:03.00,Marta Zenoni,ITA,09.03.99,7,Bydgoszcz,20.06.2024
2134,4:03.00,Salomé Afonso,POR,19.11.97,8,Roma,04.06.2026
2145,4:03.01,Margarita Marusova,RUS,25.11.67,3,Nice,10.07.1996
2145,4:03.01,Suzy Favor Hamilton,USA,08.08.68,5,Bruxelles,30.08.2002
2145,4:03.01,Natalia Rodríguez,ESP,02.06.79,10,Athínai,28.08.2004
2145,4:03.01,Maryam Yusuf Jamal,BRN,16.09.84,5,Monaco,20.08.2006
2145,4:03.01,Christin Wurth-Thomas,USA,11.07.80,1,Stockholm,31.07.2009
2145,4:03.01,Luiza Gega,ALB,05.11.88,8,Roma,04.06.2015
2145,4:03.01A,Hirut Meshesha,ETH,20.01.01,2,Nairobi,18.09.2021
2145,4:03.01,Hirut Meshesha,ETH,20.01.01,3,Stockholm,02.07.2023
2153,4:03.02,Theresia Kiesl,AUT,26.10.63,3,Atlanta,03.08.1996
2153,4:03.02,Lidia Chojecka,POL,25.01.77,3,Roma,30.06.2000
2153,4:03.02,Süreyya Ayhan-Kop,TUR,06.09.78,5,Bruxelles,25.08.2000
2153,4:03.02,Nancy Jebet Langat,KEN,22.08.81,1h3,Beijing,21.08.2008
2153,4:03.02,Hind Dehiba,FRA,17.03.79,3r1,Rieti,10.09.2011
2153,4:03.02,Colleen Quigley,USA,20.11.92,1,Chorzów,22.08.2018
2159,4:03.03,Alla Yushina,RUS,20.08.58,7,Podolsk,22.08.1982
2159,4:03.03,Doina Melinte,ROU,27.12.56,1,Göteborg,28.06.1987
2159,4:03.03,Svetlana Kitova,TJK,25.06.60,2,Zagreb,16.07.1987
2159,4:03.03,Daniela Yordanova,BUL,08.03.76,5,München,11.08.2002
2159,4:03.03,Joanne Pavey,GBR,20.09.73,10,Saint-Denis,31.08.2003
2159,4:03.03,Sarah Jamieson,AUS,24.03.75,2,Monaco,29.07.2008
2159,4:03.03,Ciara Mageean,IRL,12.03.92,2h2,München,16.08.2022
2159,4:03.03,Sarah McDonald,GBR,02.08.93,1rA,Stretford,12.08.2023
2167,4:03.04,Mitica Constantin,ROU,18.08.62,3,Zagreb,16.07.1987
2167,4:03.04,Kelly Holmes,GBR,19.04.70,2,Göteborg,09.08.1995
2167,4:03.04,Laura Weightman,GBR,07.01.91,6,Eugene,28.05.2016
2167,4:03.04,Meraf Bahta,SWE,24.06.89,5,Birmingham,20.08.2017
2167,4:03.04,Shannon Rowbury,USA,19.09.84,6,Stockholm,23.08.2020
2167,4:03.04,Eliza Megger,POL,29.08.99,10,Chorzów,06.08.2022
2167,4:03.04,Ludovica Cavalli,ITA,20.12.00,11,Firenze,02.06.2023
2167,4:03.04,Gaia Sabbatini,ITA,10.06.99,4h2,Budapest,19.08.2023
2175,4:03.05,Tatyana Leonova,MDA,26.07.56,9r1,Kyiv,27.07.1982
2175,4:03.05,Olga Zhuravlyova,RUS,56,11,Kyiv,24.06.1984
2175,4:03.05,Svetlana Guskova,MDA,19.08.59,1,Budapest,20.08.1984
2175,4:03.05,Kirsty Wade,GBR,06.08.62,5,Oslo,04.07.1987
2175,4:03.05,Hind Dehiba,FRA,17.03.79,2,Saint-Denis,01.07.2005
2175,4:03.05,Axumawit Embaye,ETH,18.10.94,5,London,22.07.2016
2175,4:03.05,Marusa Mismas-Zrimsek,SLO,24.11.94,3,Marseille,03.09.2020
2182,4:03.06,Natalia Rodríguez,ESP,02.06.79,6,Helsinki,14.08.2005
2182,4:03.06,Iryna Lishchynska,UKR,15.01.76,6,Monaco,20.08.2006
2182,4:03.06,Angelika Cichocka,POL,15.03.88,9,Roma,04.06.2015
2182,4:03.06,Genzebe Dibaba,ETH,08.02.91,1s2,Rio de Janeiro,14.08.2016
2182,4:03.06,Meraf Bahta,SWE,24.06.89,8,Zürich,01.09.2016
2182,4:03.06,Laura Galván,MEX,05.10.91,2rA,Stretford,12.08.2023
2182,4:03.06,Kate Current,CAN,16.02.98,2,Poznan,06.07.2025
2189,4:03.07,Lyudmila Rogachova,RUS,30.10.66,1,Kyiv,07.07.1990
2189,4:03.07,Lyudmila Rogachova,RUS,30.10.66,1,Sevilla,06.06.1992
2189,4:03.07,Yelena Romanova,RUS,20.03.63,3,Moskva,11.06.1992
2189,4:03.07,Elena Antoci,ROU,16.01.75,2,Bucuresti,08.06.2002
